Level1,Level2,Level3,Level4,Federal,State,Local
DUMMY,DUMMY,05922,NULL,NULL,NULL,NULL
Central-North,CN-3,05282,NULL,156671.5764,135503.0010,57196.5145
CLOSE,CLOSE,05287,NULL,NULL,NULL,NULL
DUMMY,DUMMY,05910,NULL,NULL,NULL,NULL
CLOSE,CLOSE,05135,NULL,NULL,NULL,NULL
DUMMY,DUMMY,05901,NULL,NULL,NULL,NULL
Central-North,CN-4,05368,NULL,90173.2682,101018.4672,31044.2199
Central,C-4,0580,NULL,202072.6815,182563.5134,99121.8011
Central-North,CN-3,05208,NULL,61903.5143,86292.8763,24157.7432
North-East,NE-3,05353,NULL,113774.9023,108495.4499,36958.5434
Central-South,CS-4,05369,NULL,35740.4964,84938.2017,10144.7624
Central,C-1,05545,NULL,27764.9389,34905.7048,11760.9436
DUMMY,DUMMY,05935,NULL,NULL,NULL,NULL
North-East,NE-5,05301,NULL,117260.6008,110866.1342,39150.9438
North,N-1,05605,NULL,222857.3019,202368.7531,60780.0872
South-East,SE-4,05531,NULL,72200.5480,64631.4474,23894.5990
Central-North,CN-4,05221,NULL,139177.8534,134292.9250,42671.0670
North-East,NE-5,05588,NULL,65011.1721,81302.5722,16651.6768
DUMMY,DUMMY,05934,NULL,NULL,NULL,NULL
Central,C-5,05105,NULL,52368.0595,60749.5334,17428.2473
Central-North,CN-8,05183,NULL,49397.0722,57588.3996,13710.0292
North,N-3,05450,NULL,30038.9712,29975.3818,8164.6098
Central-South,CS-2,05112,NULL,57780.5040,56204.7812,20576.9345
Central-South,CS-4,05423,NULL,46492.5152,53717.0668,19108.5715
North-East,NE-1,05253,NULL,96082.5340,69457.7337,29912.3525
North-East,NE-7,05465,NULL,198523.2617,181484.7708,80197.1263
Central,C-3,05474,NULL,53812.3715,80642.3715,21057.5621
Central-South,CS-4,05389,NULL,46110.7818,55725.4296,17421.6575
NULL,,050,NULL,NULL,NULL,NULL
Central-South,CS-3,05514,NULL,19772.5810,23540.6380,7085.1902
South-East,SE-2,05339,NULL,38969.0382,31545.6759,11262.8571
South-East,SE-1,05407,NULL,74357.8193,79586.2100,44465.3235
South-East,SE-5,0561,NULL,127870.9520,141792.7422,39820.7529
Central-South,CS-2,05607,NULL,50181.0904,46205.4664,12834.6098
Central-North,CN-2,0587,NULL,85584.1002,76428.5812,32460.3907
South-East,SE-5,05587,NULL,15103.0856,16210.3052,5329.8096
Central-South,CS-1,05308,NULL,95621.6251,76803.2199,20630.8959
South-East,SE-3,05433,NULL,47474.2482,51367.6385,18937.0574
Central,C-8,05377,NULL,62744.1805,61389.5816,29178.4763
DUMMY,DUMMY,05932,NULL,NULL,NULL,NULL
North-East,NE-7,05631,NULL,54432.8671,37347.0668,20379.9054
North-East,NE-6,0565,NULL,216260.2192,233014.9551,65053.8390
North-East,NE-1,05416,NULL,69792.0181,97408.3144,29515.5531
North-East,NE-1,05234,NULL,69989.9810,86849.0761,29102.6286
South-East,SE-2,05564,NULL,39982.0715,43647.0379,15744.2952
Central,C-3,05330,NULL,56298.2487,92563.9815,26323.3722
Central-North,CN-5,05194,NULL,67289.4476,63034.7056,19664.1622
Central,C-8,05516,NULL,119502.9100,213451.3000,36871.4700
CLOSE,CLOSE,05509,NULL,NULL,NULL,NULL
North,N-2,05233,NULL,60358.0953,52602.4568,19869.4291
Central-North,CN-7,05641,NULL,88770.2770,0.0000,32679.9336
DUMMY,DUMMY,05921,NULL,NULL,NULL,NULL
North-East,NE-6,05547,NULL,42740.8194,42894.7239,12625.5910
South-East,SE-1,05359,NULL,36354.5431,53528.6379,14635.7429
North,N-4,0566,NULL,71297.0478,65631.1524,15043.2571
Central-North,CN-1,05472,NULL,83700.3718,117513.3053,21524.1618
South-East,SE-3,05413,NULL,30223.4099,46597.4014,9152.2192
South-East,SE-5,05276,NULL,57216.9624,58274.6204,21850.4385
